DATE,CCUSMA02SEQ618N
2007-07-01,6.73850946327471
2007-10-01,6.41604109584315
2008-01-01,6.27440289363837
2008-04-01,5.99063535388528
2008-07-01,6.31794262500784
2008-10-01,7.80543913043478
2009-01-01,8.41408787878788
2009-04-01,7.91143152958153
2009-07-01,7.27851976284585
2009-10-01,7.0063796348579
2010-01-01,7.18774382332643
2010-04-01,7.58069437229437
2010-07-01,7.25477272727273
2010-10-01,6.7855560260995
2011-01-01,6.4814746031746
2011-04-01,6.25738816738817
2011-07-01,6.47576121463078
2011-10-01,6.74212842712843
2012-01-01,6.74664242424242
2012-04-01,6.94453968253968
2012-07-01,6.74056844532279
2012-10-01,6.64398660518226
2013-01-01,6.43279641131815
2013-04-01,6.55404059163059
2013-07-01,6.55205609511262
2013-10-01,6.5131283361566
2014-01-01,6.46594733954451
